,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
0,343,5000235.0,A,MOSSFIELD ROAD,22169.0,0.0,2006-11-07,A0032,101,0,0,,1,1466.6667,90.377,0.0616,0,"LINESTRING (224188.57799999998 350556.582, 224197.41499999998 350582.799, 224205.434 350615.52, 224212.544 350643.657)",,,,,,,,,,,,,,,,,,,,,,,
1,451,5001101.0,U,INISHMORE ROAD,33933.0,0.0,2006-11-07,C0436,134483,0,0,,1,533.3333,183.7728,0.3446,0,"LINESTRING (227793.0777588292 336170.0479230253, 227816.843 336186.517, 227846.74800000002 336206.249, 227871.59600000002 336223.105, 227890.499 336236.277)",,,,,,,,,,,,,,,,,,,,,,,
2,494,5016963.0,U,ROSCOR BRIDGE ROAD,35125.0,0.0,2006-11-07,C0710,154968,0,0,,1,533.3333,219.0499,0.4107,0,"LINESTRING (198689.32299999997 358522.489, 198699.64399999997 358492.21, 198714.262 358450.459, 198725.803 358415.339, 198731.152 358400, 198740.33299999998 358370.279, 198751.03400697676 358341.57079880295)",,,,,,,,,,,,,,,,,,,,,,,
3,502,5011207.0,U,DERRYVULLAN ROAD,33286.0,0.0,2006-11-07,U9555,108960,0,0,,1,533.3333,328.8236,0.6165,0,"LINESTRING (227701.63900000002 340676.347, 227709.26899999997 340687.688, 227712.80800525442 340700.0652764444)",,,,,,,,,,,,,,,,,,,,,,,
4,560,5010770.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,U9028,31373,0,0,,1,1466.6667,141.84,0.0967,0,"LINESTRING (217973.34427164219 351437.01572210726, 217977.37699999998 351434.063, 217983.827 351430.062, 217991.87900000002 351426.261, 218000 351422.76, 218007.97169372515 351416.0301468351)",,,,,,,,,,,,,,,,,,,,,,,
5,574,5010652.0,U,DRUMKEEN ROAD,30068.0,0.0,2006-11-07,U8511,36468,0,0,,1,533.3333,221.2258,0.4148,0,"LINESTRING (222341.235 341109.376, 222306.08299999998 341193.088, 222280.70799999998 341250.352, 222253.51 341312.456)",,,,,,,,,,,,,,,,,,,,,,,
6,575,5010652.0,U,DRUMKEEN ROAD,30068.0,0.0,2006-11-07,U8511,134497,0,0,,1,533.3333,898.7042,1.6851,0,"MULTILINESTRING ((222253.51 341312.456, 222210.691 341409.927, 222157.79599999997 341523.694, 222119.05800000002 341600.001, 222106.515 341626.583, 222091.53600000002 341656.537, 222081.86099999998 341675.072, 222074.974 341690.897, 222062.593 341720.64, 222042.397 341771.711, 222023.53999999998 341820.126, 222010.23100000003 341855.372, 222008.29700000002 341859.279, 222001.07 341877.554, 221986.054 341911.157, 221965.82400000002 341953.33, 221961.48343358815 341962.08542353986), (221884.65954305272 342114.6424194548, 221877.756 342128.195))",,,,,,,,,,,,,,,,,,,,,,,
7,576,5010652.0,U,DRUMKEEN ROAD,30068.0,0.0,2006-11-07,U8511,15798,0,0,,1,533.3333,361.9396,0.6786,0,"MULTILINESTRING ((222463.54100000003 341001.417, 222474.6470843423 340993.71678152273), (222613.4346363272 340891.15170464176, 222618.625 340876.279, 222622.16499999998 340857.799, 222624.04599999997 340841.11, 222627.83500000002 340822.581, 222636.913 340800, 222646.01799999998 340783.061, 222660.484 340762.974, 222671.446 340749.809, 222673.19276710146 340747.3626295137))",,,,,,,,,,,,,,,,,,,,,,,
8,578,5010614.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U8475,98634,0,0,,1,533.3333,458.4589,0.8596,0,"LINESTRING (221865.46596834256 342115.4029620084, 221877.756 342128.195)",,,,,,,,,,,,,,,,,,,,,,,
9,1144,5000352.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,5242,0,0,,1,1466.6667,69.6463,0.0475,0,"LINESTRING (221949.61620393425 342721.4671062387, 221956.174 342716.974, 221970.39500000002 342706.78)",,,,,,,,,,,,,,,,,,,,,,,
10,1392,5017243.0,U,THE LIMES,20305.0,0.0,2006-11-07,,57244,0,0,,1,533.3333,37.006,0.0694,0,"LINESTRING (222170.614 344979.338, 222166.896 344972.634, 222162.924 344966.503, 222158.059 344962.438, 222153.686 344959.226, 222149.064 344956.014, 222145.31199999998 344953.283)",,,,,,,,,,,,,,,,,,,,,,,
11,1801,0.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U7512,119115,0,0,,1,533.3333,15.7968,0.0296,0,"LINESTRING (222660.288 343882.061, 222668.175 343868.374)",,,,,,,,,,,,,,,,,,,,,,,
12,1876,5000691.0,B,KILLADEAS ROAD,34030.0,0.0,2006-11-07,B0082,160106,0,0,,1,1066.6667,522.0039,0.4894,0,"LINESTRING (219643.3758736943 355558.5484459193, 219678.51 355510.317, 219712.354 355466.733, 219726.303 355444.552, 219747.994 355413.009, 219787.33299999998 355359.503, 219806.53876022148 355332.75051350496)",,,,,,,,,,,,,,,,,,,,,,,
13,1918,5010652.0,U,DRUMKEEN ROAD,30068.0,0.0,2006-11-07,U7502,36445,0,0,,1,533.3333,286.5037,0.5372,0,"LINESTRING (222797.61372135452 340520.99432579306, 222800.001 340516.847, 222821.27899999998 340485.766)",,,,,,,,,,,,,,,,,,,,,,,
14,1972,5009513.0,U,,0.0,0.0,2006-11-07,U6517,15774,0,0,,1,533.3333,42.3439,0.0794,0,"LINESTRING (223601.83299999998 344117.183, 223600.61700000003 344124.05, 223598.53999999998 344132.787, 223596.146 344144.297, 223592.836 344158.551)",,,,,,,,,,,,,,,,,,,,,,,
15,2150,5000031.0,A,DUBLIN ROAD,3106.0,0.0,2006-11-07,A0004,154986,0,0,,1,1466.6667,294.1398,0.2005,0,"LINESTRING (224494.05200000003 343055.079, 224499.94900000002 343039.127, 224514.29200000002 343000.972, 224528.53499999997 342963.866, 224547.67700000003 342921.409, 224550.17099999997 342915.988, 224562.12300000002 342890.003, 224581.21500000003 342850.946, 224600 342815.557, 224609.33000000002 342800, 224615.96999999997 342787.898)",,,,,,,,,,,,,,,,,,,,,,,
16,2830,5009344.0,U,INNISKEEN PARK,3944.0,0.0,2006-11-07,U6501,62362,0,0,,1,533.3333,89.0806,0.167,0,"LINESTRING (223362.044 344961.924, 223365.04100000003 344971.713, 223369.169 344979.64, 223373.925 344988.14, 223379.925 344995.586, 223390.15600000002 345005.072, 223400 345013.426, 223418.081 345028.81)",,,,,,,,,,,,,,,,,,,,,,,
17,2833,5009580.0,U,GALLIAGH PARK,16509.0,0.0,2006-11-07,U6528,67549,0,0,,1,533.3333,63.5177,0.1191,0,"LINESTRING (222171.05200000003 344461.152, 222167.968 344455.369, 222166.33399999997 344449.503, 222165.06300000002 344438.044, 222163.278 344427.804, 222160.58500000002 344420.576, 222151.049 344401.6)",,,,,,,,,,,,,,,,,,,,,,,
18,2834,5009581.0,U,GALLIAGH PARK,16509.0,0.0,2006-11-07,U6528,129306,0,0,,1,533.3333,66.5641,0.1248,0,"LINESTRING (222111.853 344454.948, 222113.38900000002 344456.19, 222119.805 344461.361, 222124.44 344464.863, 222128.151 344468.28, 222132.674 344470.705, 222136.315 344471.447, 222141.03999999998 344471.426, 222145.267 344471.175, 222150.96500000003 344469.067, 222157.49 344466.793, 222164.526 344463.526, 222171.05200000003 344461.152)",,,,,,,,,,,,,,,,,,,,,,,
19,2835,5009581.0,U,GALLIAGH PARK,16509.0,0.0,2006-11-07,U6528,154892,0,0,,1,533.3333,92.1035,0.1727,0,"LINESTRING (222171.05200000003 344461.152, 222174.331 344460.765, 222183.581 344460.747, 222192 344461.19, 222200 344460.027, 222207.163 344455.544, 222212.75199999998 344448.614, 222214.29499999998 344442.89, 222214.43699999998 344435.243, 222214.402 344425.148, 222212.994 344416.803, 222209.766 344411.634, 222206.08899999998 344407.239, 222204.365 344407.291)",,,,,,,,,,,,,,,,,,,,,,,
20,2836,5009578.0,U,LOVERS LANE,30613.0,0.0,2006-11-07,U6528,119072,0,0,,1,533.3333,888.4128,1.6658,0,"MULTILINESTRING ((221476.33092964542 344875.82520572445, 221500.95299999998 344870.135, 221545.25300000003 344861.158, 221590.967 344853.057, 221600 344852.536, 221608.099 344851.592, 221619.163 344849.837, 221620.60542416136 344849.58943024004), (222173.3057704331 344907.50989002263, 222183.94 344911.529, 222200 344916.982, 222209.322 344919.791, 222219.675 344923.338, 222228.485 344925.683, 222238.984 344928.928, 222245.37900000002 344932.008, 222248.429 344933.639, 222249.803 344935.293))",,,,,,,,,,,,,,,,,,,,,,,
21,2841,5009573.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U6527,88121,0,0,,1,533.3333,35.9208,0.0674,0,"LINESTRING (222632.15899999999 343820.03, 222636.347 343813.804, 222658.735 343796.302)",,,,,,,,,,,,,,,,,,,,,,,
22,2843,5009574.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U6527,114081,0,0,,1,533.3333,65.0991,0.1221,0,"LINESTRING (222606.0269658944 343806.83625313593, 222609.265 343803.464, 222621.088 343793.997, 222629.473 343788.608, 222643.56800000003 343777.836)",,,,,,,,,,,,,,,,,,,,,,,
23,2846,5009572.0,U,ELLIOTT PLACE,3560.0,0.0,2006-11-07,U6527,124158,0,0,,1,533.3333,114.905,0.2154,0,"LINESTRING (222631.04582283628 343933.9908958115, 222651.46600000001 343897.376, 222660.288 343882.061)",,,,,,,,,,,,,,,,,,,,,,,
24,2848,5009551.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U6527,108874,0,0,,1,533.3333,48.7566,0.0914,0,"LINESTRING (222690.108 343833.611, 222688.152 343831.516, 222682.081 343824.707, 222664.56800000003 343803.405, 222658.735 343796.302)",,,,,,,,,,,,,,,,,,,,,,,
25,2849,5009551.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U6527,5266,0,0,,1,533.3333,23.8963,0.0448,0,"LINESTRING (222658.735 343796.302, 222643.56800000003 343777.836)",,,,,,,,,,,,,,,,,,,,,,,
26,2850,5009551.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U6527,154893,0,0,,1,533.3333,13.5039,0.0253,0,"LINESTRING (222643.56800000003 343777.836, 222641.22027620077 343774.9832187327)",,,,,,,,,,,,,,,,,,,,,,,
27,2857,5009565.0,U,WINDMILL ROAD,271.0,0.0,2006-11-07,U6527,10406,0,0,,1,533.3333,219.0102,0.4106,0,"LINESTRING (222453.95500000002 344173.216, 222461.32 344157.576, 222464.327 344147.432, 222466.93300000002 344135.721, 222471.923 344117, 222476.04499999998 344101.739, 222478.57299999997 344094.326, 222482.06199999998 344080.076, 222484.767 344071.361, 222487.74699999997 344065.615, 222492.99300000002 344057.905, 222504.608 344040.77, 222518.249 344023.799, 222529.58299999998 344008.336, 222535.804 344000, 222549.16999999998 343979.481)",,,,,,,,,,,,,,,,,,,,,,,
28,2858,5009564.0,U,WINDMILL DRIVE,285.0,0.0,2006-11-07,U6527,43,0,0,,1,533.3333,243.4338,0.4564,0,"MULTILINESTRING ((222486.57900000003 344196.347, 222492.831 344187.447, 222497.63199999998 344176.972, 222500.60700000002 344166.405, 222501.293 344158.023, 222502.245 344152.086, 222504.479 344145.101, 222509.51799999998 344133.899, 222518.88 344113.529, 222526.282 344098.588, 222530.15386048183 344090.6643076962), (222589.83314521433 343992.11546400824, 222592.07900000003 343981.494))",,,,,,,,,,,,,,,,,,,,,,,
29,2860,5009551.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U6527,144628,0,0,,1,533.3333,28.3819,0.0532,0,"LINESTRING (222690.108 343833.611, 222694.89299999998 343837.175, 222698.4788902966 343838.8862301)",,,,,,,,,,,,,,,,,,,,,,,
30,2876,5009264.0,U,COLESHILL ROAD,11467.0,0.0,2006-11-07,U6306,149757,0,0,,1,533.3333,82.1252,0.154,0,"LINESTRING (222498.93390215046 343977.8150202899, 222544.093 343979.266, 222549.16999999998 343979.481)",,,,,,,,,,,,,,,,,,,,,,,
31,2877,5009555.0,U,COLESHILL ROAD,11467.0,0.0,2006-11-07,U6527,67550,0,0,,1,533.3333,42.9563,0.0805,0,"LINESTRING (222549.16999999998 343979.481, 222572.425 343980.534, 222592.07900000003 343981.494)",,,,,,,,,,,,,,,,,,,,,,,
32,2878,5009555.0,U,COLESHILL ROAD,11467.0,0.0,2006-11-07,U6527,93256,0,0,,1,533.3333,12.3406,0.0231,0,"LINESTRING (222592.07900000003 343981.494, 222597.08987159078 343981.88089271873)",,,,,,,,,,,,,,,,,,,,,,,
33,2885,0.0,U,COLESHILL PARK,11223.0,0.0,2006-11-07,U6527,46780,0,0,,1,533.3333,41.1121,0.0771,0,"LINESTRING (222668.175 343868.374, 222672.262 343861.28, 222690.108 343833.611)",,,,,,,,,,,,,,,,,,,,,,,
34,2886,0.0,U,,0.0,0.0,2006-11-07,U6527,77833,0,0,,1,533.3333,127.1007,0.2383,0,"LINESTRING (222552.76 343916.757, 222557.898 343914.316, 222562.337 343913.333, 222566.89 343913.289, 222570.23599999998 343913.356, 222573.44900000002 343913.419, 222576.12 343913.74, 222579.72499999998 343914.213, 222582.707 343914.898, 222585.51400000002 343915.971, 222590.561 343917.473, 222593.97100000002 343917.881, 222597.108 343916.653, 222600.76799999998 343913.869, 222632 343878.095, 222634.108 343877.261, 222636.41499999998 343876.721, 222638.81900000002 343876.623, 222641.468 343877.015, 222660.288 343882.061)",,,,,,,,,,,,,,,,,,,,,,,
35,2893,5017248.0,U,WILLOUGHBY COURT,311.0,0.0,2006-11-07,U6523,139518,0,0,,1,533.3333,28.0476,0.0526,0,"LINESTRING (222305.39899999998 344824.901, 222277.62199999997 344828.788)",,,,,,,,,,,,,,,,,,,,,,,
36,2898,5009520.0,U,HALLS LANE,14690.0,0.0,2006-11-07,U6518,67551,0,0,,1,533.3333,86.9605,0.1631,0,"LINESTRING (223448.934 344387.25, 223444.799 344380.625, 223439.64500000002 344372.328, 223439.20400000003 344371.618, 223425.928 344351.24, 223418.375 344339.371, 223408.869 344324.016, 223402.782 344313.56)",,,,,,,,,,,,,,,,,,,,,,,
37,2917,5009490.0,U,DERRYCHARA ROAD,4884.0,0.0,2006-11-07,U6514,31281,0,0,,1,533.3333,76.0675,0.1426,0,"LINESTRING (224049.571 343546.463, 224045.36 343537.907, 224039.81 343531.151, 224035.468 343528.256, 224029.918 343526.324, 224025.093 343526.808, 224023.163 343529.221, 224021.23200000002 343533.805, 224021.956 343536.7, 224024.852 343541.043, 224027.988 343542.974, 224033.77899999998 343544.421, 224041.25799999997 343545.386, 224049.571 343546.463)",,,,,,,,,,,,,,,,,,,,,,,
38,2923,5009275.0,U,KINARLA PARK,30491.0,0.0,2006-11-07,U6307,31291,0,0,,1,533.3333,6.8633,0.0129,0,"LINESTRING (221767.20500000002 345205.289, 221762.831 345200)",,,,,,,,,,,,,,,,,,,,,,,
