Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
0,343,5000235.0,A,MOSSFIELD ROAD,22169.0,0.0,2006-11-07,A0032,101,0,0,1,1466.6667,90.377,0.0616,0,"LINESTRING (224188.57799999998 350556.582, 224197.41499999998 350582.799, 224202.88746726786 350605.1290413359)"
1,451,5001101.0,U,INISHMORE ROAD,33933.0,0.0,2006-11-07,C0436,134483,0,0,1,533.3333,183.7728,0.3446,0,"LINESTRING (227869.26169425124 336221.5214899508, 227871.59600000002 336223.105, 227890.499 336236.277)"
2,494,5016963.0,U,ROSCOR BRIDGE ROAD,35125.0,0.0,2006-11-07,C0710,154968,0,0,1,533.3333,219.0499,0.4107,0,"LINESTRING (198689.32299999997 358522.489, 198699.64399999997 358492.21, 198714.262 358450.459, 198719.24580147694 358435.29297384364)"
3,574,5010652.0,U,DRUMKEEN ROAD,30068.0,0.0,2006-11-07,U8511,36468,0,0,1,533.3333,221.2258,0.4148,0,"LINESTRING (222341.235 341109.376, 222339.76987348954 341112.8650950854)"
4,576,5010652.0,U,DRUMKEEN ROAD,30068.0,0.0,2006-11-07,U8511,15798,0,0,1,533.3333,361.9396,0.6786,0,"LINESTRING (222617.56823665122 340879.30709786626, 222618.625 340876.279, 222622.16499999998 340857.799, 222624.04599999997 340841.11, 222627.83500000002 340822.581, 222636.913 340800, 222646.01799999998 340783.061, 222660.484 340762.974, 222660.68627182336 340762.7310782198)"
5,1392,5017243.0,U,THE LIMES,20305.0,0.0,2006-11-07,,57244,0,0,1,533.3333,37.006,0.0694,0,"LINESTRING (222170.614 344979.338, 222166.896 344972.634, 222162.924 344966.503, 222158.059 344962.438, 222153.686 344959.226, 222149.064 344956.014, 222145.31199999998 344953.283)"
6,1918,5010652.0,U,DRUMKEEN ROAD,30068.0,0.0,2006-11-07,U7502,36445,0,0,1,533.3333,286.5037,0.5372,0,"LINESTRING (222816.47567231287 340492.78227163473, 222821.27899999998 340485.766)"
7,1972,5009513.0,U,,0.0,0.0,2006-11-07,U6517,15774,0,0,1,533.3333,42.3439,0.0794,0,"LINESTRING (223601.83299999998 344117.183, 223600.61700000003 344124.05, 223598.53999999998 344132.787, 223596.51002605713 344142.54681624164)"
8,2150,5000031.0,A,DUBLIN ROAD,3106.0,0.0,2006-11-07,A0004,154986,0,0,1,1466.6667,294.1398,0.2005,0,"LINESTRING (224494.05200000003 343055.079, 224499.94900000002 343039.127, 224514.29200000002 343000.972, 224528.53499999997 342963.866, 224547.67700000003 342921.409, 224550.17099999997 342915.988, 224562.12300000002 342890.003, 224581.21500000003 342850.946, 224600 342815.557, 224609.33000000002 342800, 224614.42120809248 342790.7208132025)"
9,2830,5009344.0,U,INNISKEEN PARK,3944.0,0.0,2006-11-07,U6501,62362,0,0,1,533.3333,89.0806,0.167,0,"LINESTRING (223362.044 344961.924, 223365.04100000003 344971.713, 223369.169 344979.64, 223373.925 344988.14, 223379.925 344995.586, 223390.15600000002 345005.072, 223400 345013.426, 223413.935616247 345025.28295040893)"
