,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
0,494,5016963.0,U,ROSCOR BRIDGE ROAD,35125.0,0.0,2006-11-07,C0710,154968,0,0,,1,533.3333,219.0499,0.4107,0,"LINESTRING (198689.32299999997 358522.489, 198699.64399999997 358492.21, 198706.35487153192 358473.042836412)",,,,,,,,,,,,,,,,,,,,,,,
1,2150,5000031.0,A,DUBLIN ROAD,3106.0,0.0,2006-11-07,A0004,154986,0,0,,1,1466.6667,294.1398,0.2005,0,"LINESTRING (224494.05200000003 343055.079, 224499.94900000002 343039.127, 224514.29200000002 343000.972, 224528.53499999997 342963.866, 224547.67700000003 342921.409, 224550.17099999997 342915.988, 224562.12300000002 342890.003, 224581.21500000003 342850.946, 224586.45209237587 342841.07985881873)",,,,,,,,,,,,,,,,,,,,,,,
2,2898,5009520.0,U,HALLS LANE,14690.0,0.0,2006-11-07,U6518,67551,0,0,,1,533.3333,86.9605,0.1631,0,"LINESTRING (223448.934 344387.25, 223444.799 344380.625, 223439.64500000002 344372.328, 223439.20400000003 344371.618, 223425.928 344351.24, 223418.375 344339.371, 223408.869 344324.016, 223402.782 344313.56)",,,,,,,,,,,,,,,,,,,,,,,
3,2923,5009275.0,U,KINARLA PARK,30491.0,0.0,2006-11-07,U6307,31291,0,0,,1,533.3333,6.8633,0.0129,0,"LINESTRING (221767.20500000002 345205.289, 221762.831 345200)",,,,,,,,,,,,,,,,,,,,,,,
4,2952,5009456.0,U,LOUGHYOAN ROAD,30612.0,0.0,2006-11-07,U6513,15718,0,0,,1,533.3333,112.3841,0.2107,0,"LINESTRING (224494.05200000003 343055.079, 224497.86588429922 343055.2882181548)",,,,,,,,,,,,,,,,,,,,,,,
5,2963,5009533.0,U,DARLING STREET,4754.0,0.0,2006-11-07,U6523,62369,0,0,,1,533.3333,3.4685,0.0065,0,"LINESTRING (223209.641 344325.779, 223206.29700000002 344326.7)",,,,,,,,,,,,,,,,,,,,,,,
6,3465,5005162.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,5338,0,0,,1,1466.6667,495.0549,0.3375,0,"LINESTRING (206952.039 362352.68, 206983.191 362341.228, 207010.69300000003 362329.909, 207010.99484903674 362329.81903157965)",,,,,,,,,,,,,,,,,,,,,,,
7,3466,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,67627,0,0,,1,533.3333,14.3832,0.027,0,"LINESTRING (222069.84399999998 342508.32, 222070.642 342503.162, 222071.51400000002 342498.003, 222072.14899999998 342494.123)",,,,,,,,,,,,,,,,,,,,,,,
8,3524,5011032.0,U,ROSSIGH ROAD,35158.0,0.0,2006-11-07,U0542,57335,0,0,,1,533.3333,284.9965,0.5344,0,"LINESTRING (218149.305 355842.237, 218154.43800000002 355847.956, 218163.71399999998 355856.189, 218166.0648000001 355858.20311189094)",,,,,,,,,,,,,,,,,,,,,,,
9,3615,5010983.0,U,VALLEY ROAD,35771.0,0.0,2006-11-07,U6503,134514,0,0,,1,533.3333,301.3337,0.565,0,"LINESTRING (219618.098 354463.821, 219628.40399999998 354471.58, 219648.581 354484.746, 219662.13199999998 354493.575, 219669.25900000002 354497.716, 219680.936 354501.633, 219691.821 354504.096, 219712.195 354508.562, 219738.113 354513.861, 219758.63900000002 354517.779, 219772.61599999998 354521.709, 219780.34499999997 354525.404, 219795.13799999998 354535.639, 219814.89899999998 354551.603, 219834.956 354568.57, 219854.173 354583.331, 219869.104 354595.817, 219878.66600000003 354602.723)",,,,,,,,,,,,,,,,,,,,,,,
