Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
0,494,5016963.0,U,ROSCOR BRIDGE ROAD,35125.0,0.0,2006-11-07,C0710,154968,0,0,1,533.3333,219.0499,0.4107,0,"LINESTRING (198689.32299999997 358522.489, 198699.64399999997 358492.21, 198700.47496437392 358489.8366525122)"
1,2150,5000031.0,A,DUBLIN ROAD,3106.0,0.0,2006-11-07,A0004,154986,0,0,1,1466.6667,294.1398,0.2005,0,"LINESTRING (224495.34170743625 343051.590206881, 224499.94900000002 343039.127, 224514.29200000002 343000.972, 224528.53499999997 342963.866, 224547.67700000003 342921.409, 224550.17099999997 342915.988, 224562.12300000002 342890.003, 224572.4302192978 342868.91725392244)"
2,2898,5009520.0,U,HALLS LANE,14690.0,0.0,2006-11-07,U6518,67551,0,0,1,533.3333,86.9605,0.1631,0,"LINESTRING (223448.934 344387.25, 223444.799 344380.625, 223439.64500000002 344372.328, 223439.20400000003 344371.618, 223425.928 344351.24, 223418.375 344339.371, 223408.869 344324.016, 223402.782 344313.56)"
3,2963,5009533.0,U,DARLING STREET,4754.0,0.0,2006-11-07,U6523,62369,0,0,1,533.3333,3.4685,0.0065,0,"LINESTRING (223209.641 344325.779, 223206.29700000002 344326.7)"
4,3465,5005162.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,5338,0,0,1,1466.6667,495.0549,0.3375,0,"LINESTRING (206966.06470000104 362347.52391639666, 206974.95016440522 362344.2574699933)"
5,3615,5010983.0,U,VALLEY ROAD,35771.0,0.0,2006-11-07,U6503,134514,0,0,1,533.3333,301.3337,0.565,0,"LINESTRING (219699.80985651046 354505.8471648756, 219712.195 354508.562, 219738.113 354513.861, 219758.63900000002 354517.779, 219772.61599999998 354521.709, 219780.34499999997 354525.404, 219795.13799999998 354535.639, 219814.89899999998 354551.603, 219834.956 354568.57, 219854.173 354583.331, 219863.1871728608 354590.8690726234)"
6,3735,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,129414,0,0,1,533.3333,50.858,0.0954,0,"LINESTRING (222092.96768226384 342605.568995222, 222090.142 342600.914, 222081.24099999998 342591.053, 222074.032 342582.853, 222069.876 342577.52)"
7,3736,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,149874,0,0,1,533.3333,16.7959,0.0315,0,"LINESTRING (222069.876 342577.52, 222067.564 342573.768, 222065.227 342567.741, 222065.09100000001 342561.818)"
8,3737,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,109000,0,0,1,533.3333,47.6879,0.0894,0,"LINESTRING (222065.09100000001 342561.818, 222066.92200000002 342550.15, 222068.68199999997 342541.307, 222069.14046384193 342538.69805236027)"
9,3744,5009258.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,155007,0,0,1,533.3333,25.7899,0.0484,0,"LINESTRING (222069.876 342577.52, 222073.935 342575.804, 222080.515 342573.812, 222087.38199999998 342573.043, 222094.876 342571.789)"
